# Generated by `cargo run -p fulgur-wpt --example shard_list`.
# Shard 3/3: 193 entries (15 PASS, 120 FAIL, 58 SKIP).
# Re-balance with `cargo run -p fulgur-wpt --example shard_list -- --from crates/fulgur-wpt/expectations/lists/multicol-1.txt --from crates/fulgur-wpt/expectations/lists/multicol-2.txt --from crates/fulgur-wpt/expectations/lists/multicol-3.txt --shards 3 --output-prefix crates/fulgur-wpt/expectations/lists/multicol-`.

PASS  css/css-multicol/multicol-span-all-006.html
FAIL  css/css-multicol/multicol-span-all-007.html  # page 1 diff: 2260/891662 pixels exceed tol (max_ch=255)
PASS  css/css-multicol/multicol-span-all-008.html
FAIL  css/css-multicol/multicol-span-all-009.html  # page 1 diff: 1909/891662 pixels exceed tol (max_ch=255)
PASS  css/css-multicol/multicol-span-all-010.html
FAIL  css/css-multicol/multicol-span-all-011.html  # page 1 diff: 1707/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-012.html  # page 1 diff: 13489/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-013.html  # page 1 diff: 3929/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-014.html  # page 1 diff: 15400/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-015.html  # page 1 diff: 6959/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/multicol-span-all-016.html  # NoMatch
FAIL  css/css-multicol/multicol-span-all-017.html  # page 1 diff: 15450/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-018.html  # page 1 diff: 8107/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-019.html  # page 1 diff: 5612/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-020.html  # page 1 diff: 6751/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-button-001.html  # page 1 diff: 6/891662 pixels exceed tol (max_ch=3)
